Action Queue,Area Movement,Cooperative Game,Dice Rolling,Die Icon Resolution,Events,Hexagon Grid,Map Addition,Movement Points,Narrative Choice / Paragraph,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Tile Placement,Turn Order: Progressive,Variable Player Powers,Worker Placement,,,,,
Auction/Bidding,Catch the Leader,Connections,Dice Rolling,Loans,Network and Route Building,Pick-up and Deliver,Player Elimination,Scenario / Mission / Campaign Game,Selection Order Bid,Tile Placement,Turn Order: Auction,Victory Points as a Resource,,,,,,,,
"Deck, Bag, and Pool Building",Hand Management,Ownership,Point to Point Movement,Set Collection,Track Movement,Variable Set-up,,,,,,,,,,,,,,
Contracts,End Game Bonuses,Grid Movement,Modular Board,Network and Route Building,Set Collection,Variable Set-up,Worker Placement,"Worker Placement, Different Worker Types",,,,,,,,,,,,
Paper-and-Pencil,,,,,,,,,,,,,,,,,,,,
Card Play Conflict Resolution,Contracts,End Game Bonuses,Force Commitment,Grid Movement,Hexagon Grid,King of the Hill,Movement Points,Narrative Choice / Paragraph,Solo / Solitaire Game,Take That,Tech Trees / Tech Tracks,Variable Player Powers,Variable Set-up,Victory Points as a Resource,Zone of Control,,,,,
Area Majority / Influence,Area Movement,Area-Impulse,Card Play Conflict Resolution,Contracts,Delayed Purchase,Dice Rolling,Die Icon Resolution,Events,Hand Management,Hidden Movement,Income,Once-Per-Game Abilities,Simulation,Take That,Team-Based Game,Variable Player Powers,Variable Set-up,,,
Auction/Bidding,Auction: Turn Order Until Pass,Catch the Leader,Income,Market,Network and Route Building,Turn Order: Stat-Based,,,,,,,,,,,,,,
Delayed Purchase,Income,Market,Modular Board,Open Drafting,Simultaneous Action Selection,Victory Points as a Resource,,,,,,,,,,,,,,
Action Queue,Area Majority / Influence,End Game Bonuses,Grid Movement,Hexagon Grid,Map Addition,Open Drafting,Take That,Tile Placement,Turn Order: Claim Action,Variable Player Powers,Worker Placement,,,,,,,,,
Closed Drafting,Hand Management,Set Collection,Simultaneous Action Selection,Variable Player Powers,,,,,,,,,,,,,,,,
Cooperative Game,Hand Management,Legacy Game,Pick-up and Deliver,Point to Point Movement,Set Collection,Trading,Variable Player Powers,,,,,,,,,,,,,
Commodity Speculation,Contracts,Dice Rolling,Market,Modular Board,Network and Route Building,Solo / Solitaire Game,Turn Order: Pass Order,Variable Player Powers,Variable Set-up,,,,,,,,,,,
Hand Management,Open Drafting,Tile Placement,,,,,,,,,,,,,,,,,,
Auction/Bidding,Auction: English,Auction: Once Around,Auction: Sealed Bid,Auction: Turn Order Until Pass,Commodity Speculation,Hand Management,Victory Points as a Resource,,,,,,,,,,,,,
Action Queue,Ownership,Turn Order: Claim Action,Turn Order: Pass Order,Variable Set-up,Worker Placement,,,,,,,,,,,,,,,
Auction/Bidding,Auction: English,Auction: Once Around,Auction: Sealed Bid,Auction: Turn Order Until Pass,Commodity Speculation,Hand Management,Victory Points as a Resource,,,,,,,,,,,,,
Closed Drafting,Dice Rolling,Hand Management,Open Drafting,Take That,Victory Points as a Resource,,,,,,,,,,,,,,,
Area Majority / Influence,Area Movement,Campaign / Battle Card Driven,Card Play Conflict Resolution,Dice Rolling,Events,Hand Management,Hidden Movement,Movement Points,Simulation,Team-Based Game,Variable Set-up,,,,,,,,,
Hand Management,Set Collection,,,,,,,,,,,,,,,,,,,
Auction/Bidding,Constrained Bidding,End Game Bonuses,Hidden Victory Points,Mancala,Modular Board,Set Collection,Square Grid,Take That,Turn Order: Auction,Variable Player Powers,Variable Set-up,Victory Points as a Resource,,,,,,,,
Area Movement,Rondel,Set Collection,Solo / Solitaire Game,Tile Placement,Track Movement,Variable Set-up,Worker Placement with Dice Workers,,,,,,,,,,,,,
End Game Bonuses,Worker Placement,,,,,,,,,,,,,,,,,,,
Action Drafting,Constrained Bidding,Deduction,End Game Bonuses,Events,Hand Management,Open Drafting,Turn Order: Progressive,,,,,,,,,,,,,
Contracts,Hand Management,Solo / Solitaire Game,Turn Order: Auction,Victory Points as a Resource,Worker Placement,"Worker Placement, Different Worker Types",,,,,,,,,,,,,,
Area Majority / Influence,Contracts,Set Collection,Turn Order: Claim Action,Worker Placement,"Worker Placement, Different Worker Types",,,,,,,,,,,,,,,
Contracts,Income,Loans,Market,Open Drafting,Set Collection,Solo / Solitaire Game,Turn Order: Progressive,,,,,,,,,,,,,
Area Majority / Influence,Variable Phase Order,Worker Placement,,,,,,,,,,,,,,,,,,
Contracts,"Deck, Bag, and Pool Building",End Game Bonuses,Events,Point to Point Movement,Simultaneous Action Selection,Tech Trees / Tech Tracks,Turn Order: Progressive,Variable Set-up,,,,,,,,,,,,
Chit-Pull System,Cooperative Game,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Open Drafting,Solo / Solitaire Game,Variable Phase Order,Variable Player Powers,Variable Set-up,,,,,,,,,,,
Action Retrieval,Advantage Token,Auction: Dutch,"Deck, Bag, and Pool Building",End Game Bonuses,Hand Management,Hidden Victory Points,Movement Points,Open Drafting,Point to Point Movement,Set Collection,Variable Set-up,,,,,,,,,
Connections,End Game Bonuses,Hand Management,Network and Route Building,Open Drafting,Push Your Luck,Set Collection,,,,,,,,,,,,,,
Contracts,Dice Rolling,End Game Bonuses,Hand Management,Once-Per-Game Abilities,Open Drafting,Set Collection,Solo / Solitaire Game,Turn Order: Progressive,,,,,,,,,,,,
Campaign / Battle Card Driven,Cooperative Game,"Deck, Bag, and Pool Building",Modular Board,Role Playing,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Stat Check Resolution,Variable Player Powers,,,,,,,,,,,,
Area Majority / Influence,"Deck, Bag, and Pool Building",Delayed Purchase,Grid Movement,Hand Management,Hexagon Grid,Scenario / Mission / Campaign Game,Take That,Team-Based Game,Turn Order: Claim Action,Variable Player Powers,,,,,,,,,,
Action Points,Cooperative Game,Dice Rolling,Grid Movement,Hand Management,Line of Sight,Map Addition,Modular Board,Movement Points,Multiple Maps,Scenario / Mission / Campaign Game,Stat Check Resolution,Team-Based Game,Variable Player Powers,,,,,,,
Auction/Bidding,Auction: Fixed Placement,Commodity Speculation,Constrained Bidding,Investment,Market,Open Drafting,Stock Holding,Victory Points as a Resource,,,,,,,,,,,,
Communication Limits,Memory,Push Your Luck,Team-Based Game,,,,,,,,,,,,,,,,,
Area Majority / Influence,Dice Rolling,End Game Bonuses,Hidden Victory Points,Income,Ownership,Set Collection,Solo / Solitaire Game,Turn Order: Progressive,Variable Set-up,Worker Placement with Dice Workers,"Worker Placement, Different Worker Types",,,,,,,,,
Action Drafting,Follow,Hand Management,Set Collection,Simultaneous Action Selection,Turn Order: Role Order,Variable Phase Order,Variable Player Powers,,,,,,,,,,,,,
Hidden Movement,Memory,Point to Point Movement,Secret Unit Deployment,Team-Based Game,,,,,,,,,,,,,,,,
Catch the Leader,"Deck, Bag, and Pool Building",Delayed Purchase,Dice Rolling,Events,Market,Push Your Luck,Variable Set-up,,,,,,,,,,,,,
Area Majority / Influence,Area Movement,Auction/Bidding,Auction: Sealed Bid,Card Play Conflict Resolution,Hand Management,Order Counters,Player Elimination,Prisoner's Dilemma,Simultaneous Action Selection,Variable Player Powers,,,,,,,,,,
Dice Rolling,Hexagon Grid,Income,Modular Board,Network and Route Building,Race,Random Production,Trading,Variable Set-up,,,,,,,,,,,,
Events,Open Drafting,Turn Order: Pass Order,Variable Player Powers,,,,,,,,,,,,,,,,,
Action Queue,Action Retrieval,Area Majority / Influence,Area Movement,Dice Rolling,Hand Management,Point to Point Movement,Race,Sudden Death Ending,Variable Player Powers,Variable Set-up,,,,,,,,,,
Enclosure,Square Grid,,,,,,,,,,,,,,,,,,,
Action Retrieval,Contracts,"Deck, Bag, and Pool Building",Dice Rolling,Follow,Simultaneous Action Selection,Variable Phase Order,Variable Player Powers,Worker Placement with Dice Workers,,,,,,,,,,,,
Action Points,Area Majority / Influence,Auction/Bidding,Grid Movement,Hexagon Grid,Layering,Map Addition,Modular Board,Set Collection,Tile Placement,,,,,,,,,,,
Area Majority / Influence,Map Addition,Tile Placement,,,,,,,,,,,,,,,,,,
Communication Limits,Deduction,Events,Finale Ending,Hidden Roles,Storytelling,Team-Based Game,Traitor Game,Variable Set-up,,,,,,,,,,,,
Cooperative Game,Dice Rolling,Move Through Deck,Narrative Choice / Paragraph,Storytelling,Variable Player Powers,,,,,,,,,,,,,,,
Hand Management,Investment,Market,Square Grid,Stock Holding,Tile Placement,Victory Points as a Resource,,,,,,,,,,,,,,
Auction/Bidding,Auction: Once Around,Closed Economy Auction,Constrained Bidding,Push Your Luck,Set Collection,,,,,,,,,,,,,,,
Action Points,Card Play Conflict Resolution,Force Commitment,Hand Management,Point to Point Movement,Secret Unit Deployment,Turn Order: Auction,Variable Set-up,,,,,,,,,,,,,
Catch the Leader,Grid Movement,Pattern Building,,,,,,,,,,,,,,,,,,
Income,Open Drafting,Set Collection,,,,,,,,,,,,,,,,,,
Action Points,Action Queue,Catch the Leader,Dice Rolling,Simultaneous Action Selection,Tile Placement,Turn Order: Stat-Based,Worker Placement,"Worker Placement, Different Worker Types",,,,,,,,,,,,
Area Movement,Dice Rolling,Hand Management,Modular Board,Pick-up and Deliver,Role Playing,Scenario / Mission / Campaign Game,Team-Based Game,Variable Player Powers,,,,,,,,,,,,
Action Points,Cooperative Game,Dice Rolling,Grid Movement,Hand Management,Modular Board,Player Elimination,Scenario / Mission / Campaign Game,Variable Player Powers,,,,,,,,,,,,
Area Movement,Card Play Conflict Resolution,Hand Management,Secret Unit Deployment,Simultaneous Action Selection,Variable Player Powers,,,,,,,,,,,,,,,
Area Majority / Influence,Connections,Hand Management,Highest-Lowest Scoring,Income,Set Collection,Square Grid,Tile Placement,,,,,,,,,,,,,
Contracts,End Game Bonuses,Hand Management,Income,Open Drafting,Ownership,Set Collection,Solo / Solitaire Game,Variable Set-up,Worker Placement,,,,,,,,,,,
Auction: Dutch,End Game Bonuses,Hidden Victory Points,"I Cut, You Choose",Pattern Building,Set Collection,Tile Placement,Turn Order: Progressive,,,,,,,,,,,,,
Action Points,Cooperative Game,Hand Management,Point to Point Movement,Set Collection,Trading,Variable Player Powers,,,,,,,,,,,,,,
Area Majority / Influence,Dice Rolling,Grid Movement,Hexagon Grid,Map Addition,Modular Board,Player Elimination,Tile Placement,Variable Phase Order,Variable Player Powers,,,,,,,,,,,
Chit-Pull System,Cooperative Game,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Open Drafting,Solo / Solitaire Game,Variable Phase Order,Variable Player Powers,Variable Set-up,,,,,,,,,,,
Contracts,Hidden Roles,Increase Value of Unchosen Resources,Ownership,Set Collection,Take That,Turn Order: Claim Action,Worker Placement,,,,,,,,,,,,,
Cooperative Game,Dice Rolling,Events,Finale Ending,Hand Management,Lose a Turn,Point to Point Movement,Role Playing,Solo / Solitaire Game,Stat Check Resolution,Variable Player Powers,,,,,,,,,,
Hand Management,Ladder Climbing,,,,,,,,,,,,,,,,,,,
Race,Simultaneous Action Selection,Storytelling,Targeted Clues,Voting,,,,,,,,,,,,,,,,
Area Majority / Influence,Hand Management,Open Drafting,Solo / Solitaire Game,Tile Placement,,,,,,,,,,,,,,,,
Enclosure,Income,Investment,Negotiation,Set Collection,Tile Placement,Trading,Victory Points as a Resource,,,,,,,,,,,,,
Predictive Bid,Trick-taking,,,,,,,,,,,,,,,,,,,
Automatic Resource Growth,Highest-Lowest Scoring,Income,Set Collection,Solo / Solitaire Game,Turn Order: Claim Action,Turn Order: Progressive,Worker Placement,,,,,,,,,,,,,
"Deck, Bag, and Pool Building",Open Drafting,Point to Point Movement,,,,,,,,,,,,,,,,,,
Area Movement,Follow,Hand Management,Pick-up and Deliver,Set Collection,Simultaneous Action Selection,Variable Phase Order,,,,,,,,,,,,,,
End Game Bonuses,Open Drafting,Pattern Building,Tile Placement,Turn Order: Claim Action,,,,,,,,,,,,,,,,
Action Drafting,Auction/Bidding,Dice Rolling,End Game Bonuses,Income,Open Drafting,Point to Point Movement,Set Collection,Tech Trees / Tech Tracks,Turn Order: Stat-Based,Variable Set-up,Worker Placement with Dice Workers,,,,,,,,,
Communication Limits,Targeted Clues,Team-Based Game,,,,,,,,,,,,,,,,,,
Auction/Bidding,Modular Board,Player Elimination,Simultaneous Action Selection,Variable Player Powers,,,,,,,,,,,,,,,,
Cooperative Game,"Deck, Bag, and Pool Building",Dice Rolling,Hand Management,Move Through Deck,Role Playing,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Variable Player Powers,,,,,,,,,,,,
Action Points,Commodity Speculation,Variable Phase Order,Worker Placement,,,,,,,,,,,,,,,,,
Contracts,Dice Rolling,Grid Movement,Modular Board,Network and Route Building,Pick-up and Deliver,Race,Variable Set-up,Worker Placement,,,,,,,,,,,,
Increase Value of Unchosen Resources,Modular Board,Network and Route Building,Worker Placement,"Worker Placement, Different Worker Types",,,,,,,,,,,,,,,,
Betting and Bluffing,Closed Drafting,Deck Construction,Hand Management,Interrupts,Player Elimination,Take That,,,,,,,,,,,,,,
Area Majority / Influence,Area Movement,Auction: Dutch Priority,Dice Rolling,Hidden Victory Points,Increase Value of Unchosen Resources,Variable Player Powers,Variable Set-up,Victory Points as a Resource,,,,,,,,,,,,
Hidden Roles,Role Playing,Roles with Asymmetric Information,Traitor Game,Variable Player Powers,Voting,,,,,,,,,,,,,,,
Auction/Bidding,Auction: Turn Order Until Pass,Betting and Bluffing,Commodity Speculation,Dice Rolling,Loans,Worker Placement,,,,,,,,,,,,,,
Action Points,Area Majority / Influence,Area Movement,Card Play Conflict Resolution,Closed Drafting,Hand Management,Map Reduction,Memory,Open Drafting,Simultaneous Action Selection,,,,,,,,,,,
Deduction,Hand Management,Player Elimination,Score-and-Reset Game,Take That,,,,,,,,,,,,,,,,
Area Majority / Influence,Open Drafting,Point to Point Movement,Set Collection,Tech Trees / Tech Tracks,,,,,,,,,,,,,,,,
Card Play Conflict Resolution,Hand Management,Melding and Splaying,Set Collection,,,,,,,,,,,,,,,,,
"Deck, Bag, and Pool Building",Hand Management,Open Drafting,Variable Player Powers,,,,,,,,,,,,,,,,,
Auction/Bidding,End Game Bonuses,Grid Coverage,Tile Placement,Victory Points as a Resource,,,,,,,,,,,,,,,,
Dice Rolling,Income,Pattern Building,Solo / Solitaire Game,Tile Placement,Worker Placement,,,,,,,,,,,,,,,
Action Points,Dice Rolling,Grid Movement,Hexagon Grid,Map Reduction,Memory,Modular Board,Secret Unit Deployment,Take That,,,,,,,,,,,,
Grid Coverage,Income,Open Drafting,Square Grid,Tile Placement,Time Track,Turn Order: Stat-Based,Victory Points as a Resource,,,,,,,,,,,,,
Action Points,Area Majority / Influence,End Game Bonuses,Network and Route Building,Ownership,Tech Trees / Tech Tracks,,,,,,,,,,,,,,,
Action Drafting,Area Majority / Influence,Area Movement,Auction/Bidding,Hand Management,Memory,Open Drafting,Selection Order Bid,Simultaneous Action Selection,Turn Order: Progressive,Turn Order: Stat-Based,,,,,,,,,,
Area Majority / Influence,Automatic Resource Growth,Contracts,Dice Rolling,Hand Management,Hidden Victory Points,Income,Multi-Use Cards,Open Drafting,Simultaneous Action Selection,Solo / Solitaire Game,Variable Player Powers,Victory Points as a Resource,,,,,,,,
Contracts,Dice Rolling,End Game Bonuses,Set Collection,Turn Order: Progressive,Worker Placement,,,,,,,,,,,,,,,
Action Points,Hand Management,Set Collection,,,,,,,,,,,,,,,,,,
Action/Event,Campaign / Battle Card Driven,Connections,Hand Management,Once-Per-Game Abilities,Take That,Tug of War,,,,,,,,,,,,,,
Action Points,Cooperative Game,Dice Rolling,Events,Grid Movement,Narrative Choice / Paragraph,Push Your Luck,Role Playing,Scenario / Mission / Campaign Game,Simulation,Solo / Solitaire Game,Storytelling,Variable Player Powers,Worker Placement,,,,,,,
Auction: Dutch,Catch the Leader,End Game Bonuses,Hexagon Grid,Open Drafting,Set Collection,Tile Placement,,,,,,,,,,,,,,
Auction/Bidding,Auction: Fixed Placement,Constrained Bidding,End Game Bonuses,Hexagon Grid,Modular Board,Multiple-Lot Auction,Network and Route Building,Ownership,Set Collection,Tile Placement,Turn Order: Auction,Variable Set-up,Worker Placement,"Worker Placement, Different Worker Types",,,,,,
Contracts,Open Drafting,,,,,,,,,,,,,,,,,,,
Auction/Bidding,Auction: Once Around,Hand Management,Push Your Luck,Tech Trees / Tech Tracks,,,,,,,,,,,,,,,,
Open Drafting,Set Collection,Variable Set-up,,,,,,,,,,,,,,,,,,
Auction/Bidding,Catch the Leader,Connections,Dice Rolling,Loans,Network and Route Building,Pick-up and Deliver,Player Elimination,Scenario / Mission / Campaign Game,Selection Order Bid,Tile Placement,Turn Order: Auction,Victory Points as a Resource,,,,,,,,
Hand Management,Kill Steal,Score-and-Reset Game,Simultaneous Action Selection,,,,,,,,,,,,,,,,,
End Game Bonuses,Hand Management,Income,Network and Route Building,Solo / Solitaire Game,Turn Order: Stat-Based,Worker Placement,,,,,,,,,,,,,,
"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Open Drafting,Take That,,,,,,,,,,,,,,,,
Action Retrieval,Contracts,"Deck, Bag, and Pool Building",Hand Management,Increase Value of Unchosen Resources,Open Drafting,Set Collection,,,,,,,,,,,,,,
Area Majority / Influence,Open Drafting,Point to Point Movement,,,,,,,,,,,,,,,,,,
Dice Rolling,Narrative Choice / Paragraph,Point to Point Movement,Role Playing,Solo / Solitaire Game,Storytelling,Variable Player Powers,,,,,,,,,,,,,,
Hand Management,Investment,Market,Square Grid,Stock Holding,Tile Placement,Victory Points as a Resource,,,,,,,,,,,,,,
"Deck, Bag, and Pool Building",Delayed Purchase,End Game Bonuses,Movement Points,Open Drafting,Player Elimination,Point to Point Movement,Push Your Luck,Variable Set-up,,,,,,,,,,,,
Hand Management,Melding and Splaying,Negotiation,Set Collection,Trading,,,,,,,,,,,,,,,,
Area Movement,Cooperative Game,Dice Rolling,Scenario / Mission / Campaign Game,Variable Player Powers,,,,,,,,,,,,,,,,
Betting and Bluffing,Roll / Spin and Move,,,,,,,,,,,,,,,,,,,
Advantage Token,Area Movement,Market,Rondel,,,,,,,,,,,,,,,,,
Area Majority / Influence,Hand Management,Variable Phase Order,Worker Placement,,,,,,,,,,,,,,,,,
Auction: Turn Order Until Pass,Income,Market,Network and Route Building,,,,,,,,,,,,,,,,,
Hand Management,Investment,Market,Square Grid,Stock Holding,Tile Placement,Victory Points as a Resource,,,,,,,,,,,,,,
Income,Open Drafting,Set Collection,,,,,,,,,,,,,,,,,,
Cooperative Game,Elapsed Real Time Ending,Scenario / Mission / Campaign Game,Storytelling,,,,,,,,,,,,,,,,,
Area Majority / Influence,Dice Rolling,Hand Management,Modular Board,Team-Based Game,Track Movement,Turn Order: Auction,,,,,,,,,,,,,,
Auction/Bidding,Hexagon Grid,Investment,Market,Network and Route Building,Ownership,Single Loser Game,Stock Holding,Tile Placement,Victory Points as a Resource,,,,,,,,,,,
Grid Coverage,Highest-Lowest Scoring,Once-Per-Game Abilities,Rondel,Tile Placement,Track Movement,Turn Order: Claim Action,Turn Order: Pass Order,,,,,,,,,,,,,
Grid Coverage,Open Drafting,Set Collection,Tile Placement,,,,,,,,,,,,,,,,,
Cooperative Game,Solo / Solitaire Game,Storytelling,,,,,,,,,,,,,,,,,,
Action Retrieval,"Deck, Bag, and Pool Building",End Game Bonuses,Hand Management,Income,Open Drafting,Point to Point Movement,Solo / Solitaire Game,Tech Trees / Tech Tracks,Tile Placement,Turn Order: Progressive,Variable Set-up,,,,,,,,,
Grid Coverage,Real-Time,,,,,,,,,,,,,,,,,,,
Open Drafting,Solo / Solitaire Game,Variable Player Powers,Worker Placement,,,,,,,,,,,,,,,,,
Communication Limits,Cooperative Game,,,,,,,,,,,,,,,,,,,
Connections,Contracts,End Game Bonuses,Hand Management,Network and Route Building,Open Drafting,Push Your Luck,Set Collection,,,,,,,,,,,,,
Dice Rolling,Hand Management,Negotiation,Roll / Spin and Move,Set Collection,Take That,,,,,,,,,,,,,,,
Set Collection,Tile Placement,,,,,,,,,,,,,,,,,,,
Area Majority / Influence,Hand Management,Hexagon Grid,Once-Per-Game Abilities,Set Collection,Tile Placement,,,,,,,,,,,,,,,
Area Majority / Influence,Hand Management,Open Drafting,Set Collection,Tech Trees / Tech Tracks,,,,,,,,,,,,,,,,
Action Points,Dice Rolling,Income,Set Collection,Tile Placement,Worker Placement,,,,,,,,,,,,,,,
Auction/Bidding,Loans,Network and Route Building,Ownership,Pick-up and Deliver,Tile Placement,,,,,,,,,,,,,,,
Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement,,,,,,,,,,,,,,,,,,
Cooperative Game,Grid Movement,Hand Management,Map Addition,Modular Board,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Storytelling,Variable Player Powers,,,,,,,,,,,,
Action Queue,Area Majority / Influence,"Deck, Bag, and Pool Building",Hand Management,Investment,Open Drafting,Simultaneous Action Selection,Stock Holding,Turn Order: Claim Action,Variable Player Powers,,,,,,,,,,,
Area Majority / Influence,Auction/Bidding,Voting,Worker Placement,"Worker Placement, Different Worker Types",,,,,,,,,,,,,,,,
Contracts,Dice Rolling,End Game Bonuses,Grid Coverage,Open Drafting,Pattern Building,Set Collection,Solo / Solitaire Game,Turn Order: Progressive,Variable Set-up,,,,,,,,,,,
Dice Rolling,Flicking,,,,,,,,,,,,,,,,,,,
Grid Movement,Modular Board,,,,,,,,,,,,,,,,,,,
