비대칭 역할 정보,Roles with Asymmetric Information,전략,3
롤 / 스핀 및 이동,Roll / Spin and Move,말,2
론델,Rondel,조건,4
시나리오 / 미션 / 캠페인 게임,Scenario / Mission / Campaign Game,추리카드퍼즐,5
다회 점수 합산 게임,Score-and-Reset Game,파티,6
비밀 유닛 배치,Secret Unit Deployment,전략,3
선택 순서 입찰,Selection Order Bid,경제,1
준협동 게임,Semi-Cooperative Game,전략,3
세트 컬렉션,Set Collection,추리카드퍼즐,5
시뮬레이션,Simulation,파티,6
동시 동작 선택,Simultaneous Action Selection,전략,3
노래,Singing,파티,6
단독 패배 게임,Single Loser Game,파티,6
밀기,Slide/Push,파티,6
1인용 게임,Solo / Solitaire Game,전략,3
빨리 맞추기,Speed Matching,파티,6
정사각형 그리드,Square Grid,추리카드퍼즐,5
쌓기와 균형 잡기,Stacking and Balancing,파티,6
수치 확인 및 해결,Stat Check Resolution,조건,4
포획,Static Capture,말 ,2
주식 보유,Stock Holding,경제,1
스토리텔링,Storytelling,파티,6
단판 승부 게임,Sudden Death Ending,파티,6
태그,Tags,조건,4
치고받기,Take That,전략,3
표적 단서,Targeted Clues,추리카드퍼즐,5
팀 기반 게임,Team-Based Game,전략,3
기술 트리 / 기술 트랙,Tech Trees / Tech Tracks,조건,4
3차원 이동,Three Dimensional Movement,말,2
타일 ??배치,Tile Placement,추리카드퍼즐,5
타임 트랙,Time Track,말,2
트랙 이동,Track Movement,말,2
거래,Trading,경제,1
배신자 게임,Traitor Game,전략,3
트릭 테이킹,Trick-taking,추리카드퍼즐,5
주도권 싸움,Tug of War,말,2
턴 오더: 경매,Turn Order: Auction,경제,1
턴 오더: 클레임 조치,Turn Order: Claim Action,조건,4
턴 오더: 패스 오더,Turn Order: Pass Order,전략,3
턴 오더: 프로그레시브,Turn Order: Progressive,조건,4
턴 순서: 무작위,Turn Order: Random,조건,4
턴 순서: 역할 순서,Turn Order: Role Order,전략,3
턴 오더: 통계 기반,Turn Order: Stat-Based,전략,3
가변적 단계 순서,Variable Phase Order,조건,4
가변적 플레이어 능력,Variable Player Powers,조건,4
가변적 준비,Variable Set-up,파티,6
승점을 자원으로 사용,Victory Points as a Resource,경제,1
투표,Voting,전략,3
근로자 배치,Worker Placement,조건,4
주사위로 일꾼 배치,Worker Placement with Dice Workers,말,2
다양한 근로자 유형 배치,"Worker Placement, Different Worker Types",말,2
통제 구역,Zone of Control,조건,4
